practitioner_role_group,cost_per_hour_gbp,cost_per_minute_gbp,afc_band,is_proxy,proxy_source,pssru_table_ref,notes
GP,239.00,3.99,,false,,Table 9.4.2,Includes the manual's direct care staff costs as an indirect cost of GP appointment activity and excludes qualification costs. Cost per hour of patient contact.
Other Doctor,239.00,3.99,,true,GP,Table 9.4.2,Proxied from the GP rate. In OLIDS GP appointment data these codes (consultant / associate specialist / trainee / locum) usually represent doctors working a GP session.
Nurse,50.00,0.83,Band 5,false,,Table 9.3.1,GP practice nurse. Cost per working hour excluding qualifications.
Nursing Associate,42.00,0.70,Band 4,true,HCA,Table 8.2.1,Proxied from the HCA rate. Nursing Associates (R9809 / R9816) are AfC Band 4 like HCAs and ARRS-eligible at that band.
Pharmacist,60.00,1.00,Band 6,false,,Table 8.2.1,PSSRU 2025 Table 7.6.1 places Pharmacist at Band 6. Uses the direct Band 6 rate.
Pharmacy Technician,42.00,0.70,Band 4,true,HCA,Table 8.2.1,Proxied from the HCA rate. PSSRU 2025 Table 7.6.1 places Pharmacy Technician at Band 4.
HCA,42.00,0.70,Band 4,false,,Table 8.2.1,Community-based scientific and professional staff Band 4 cost per working hour in 2024/25 prices.
Physician Associate,72.00,1.20,Band 7,false,,Table 8.2.1,Band 7 rate based on the standard ARRS band for Physician Associates in GP settings. PSSRU does not name this role in its AfC examples.
Paramedic,72.00,1.20,Band 7,true,Physician Associate,Table 8.2.1,Proxied from Physician Associate at Band 7. PSSRU 2025 has no dedicated Paramedic rate; ARRS first-contact paramedics in GP settings are typically Band 7.
Physiotherapist,60.00,1.00,Band 6,false,,Table 8.2.1,PSSRU 2025 Table 7.6.1 places specialist Physiotherapists at Band 6. GP-setting first-contact physiotherapists are typically Band 6 or 7.
Counsellor,60.00,1.00,Band 6,false,,Table 8.2.1,PSSRU 2025 Table 7.6.1 places Counsellors at Band 6. Uses the direct Band 6 rate.
Care Navigator,42.00,0.70,Band 4,true,HCA,Table 8.2.1,Proxied from the HCA rate. Care Navigators (R9801) are typically AfC Band 3 or 4 ARRS roles. Band 4 is an upper bound.
Mental Health Practitioner,72.00,1.20,Band 7,true,Physician Associate,Table 8.2.1,Proxied from Physician Associate at Band 7. ARRS Mental Health Practitioners (R9808) are typically Band 7 advanced practice roles.
Health & Wellbeing Coach,42.00,0.70,Band 4,true,HCA,Table 8.2.1,Proxied from the HCA rate. ARRS Health and Wellbeing Coaches (R9807) are typically AfC Band 4 or 5. Band 4 is a lower bound.
Social Prescriber,42.00,0.70,Band 4,true,HCA,Table 8.2.1,Proxied from the HCA rate. ARRS Social Prescribing Link Workers (R9815) are typically AfC Band 3 or 4. Band 4 is an upper bound.
Other Clinical,47.00,0.78,Band 5,false,,Table 8.2.1,Uses the Band 5 rate for unclassified clinical roles. Cost per working hour in 2024/25 prices.
Other,,,,false,,,Non-clinical roles (social workers / chaplain / welfare officer etc.) have no applicable unit cost.
Unknown,,,,false,,,The role code is not in the SDS lookup. Its cost cannot be determined.
Admin,,,,false,,,Admin roles are filtered out of int_appointment_gp_clean before costing; row present for completeness.
